rel_month,coef,se
-24,-1.3803,0.2269
-23,-1.4188,0.2266
-22,-1.5754,0.2238
-21,-1.4448,0.2201
-20,-1.7184,0.2178
-19,2.4491,0.3902
-18,-1.736,0.2241
-17,-1.2771,0.2226
-16,-1.6916,0.2212
-15,-1.4156,0.2219
-14,-1.8591,0.2318
-13,-1.4958,0.229
-12,-1.2236,0.2203
-11,-1.5896,0.2218
-10,-1.757,0.2232
-9,-1.5961,0.2181
-8,-1.6748,0.2215
-7,8.8794,0.3027
-6,-1.5766,0.2314
-5,-1.2178,0.2204
-4,-1.6074,0.2263
-3,-1.1908,0.2214
-2,-1.6344,0.2204
-1,-1.2024,0.2322
0,-1.245,0.2196
1,-0.8994,0.2234
2,-1.2156,0.2209
3,-1.481,0.2169
4,-0.9693,0.2221
5,9.4791,0.2897
6,-1.5273,0.2229
7,-1.4664,0.219
8,-1.3941,0.2244
9,-1.3872,0.2197
10,-1.4634,0.2216
11,-1.1476,0.2204
12,-1.5235,0.2192
13,-1.4806,0.2222
14,-1.3513,0.2148
15,-1.0253,0.2203
16,-0.6646,0.2239
17,7.7589,0.3472
18,-0.8665,0.2276
19,-0.9915,0.2226
20,-1.1233,0.216
21,-0.7902,0.2399
22,-0.6632,0.2446
23,-1.0838,0.2329
24,-0.9013,0.2301
25,-0.8177,0.2239
26,-0.9298,0.2282
27,-0.9898,0.2229
28,-0.4714,0.2302
29,2.2197,0.3744
30,-0.0066,0.2234
